png_date,png_file,report_date,observed_date,category,metric_key,metric_name,value,unit,change_1d,change_1d_unit,change_ytd,change_ytd_unit,source,source_sheet,source_cell,raw_value,skip_reason
2025-07-18,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-18.png,2025-07-17,2025-07-17,investor_flows,fut_kospi200_inst,KOSPI200 선물 기관 순매수,938.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-18.png:(249, 801, 329, 827)",+938,observation already exists
2025-07-18,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-18.png,2025-07-17,2025-07-17,investor_flows,fut_kospi200_individual,KOSPI200 선물 개인 순매수,-1047.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-18.png:(332, 801, 412, 827)","-1,047",observation already exists
2025-07-18,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-18.png,2025-07-17,2025-07-17,investor_flows,fut_kr10y_foreign,10년 국채선물 외국인 순매수,-11229.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-18.png:(166, 858, 246, 884)","-11,229",observation already exists
2025-07-18,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-18.png,2025-07-17,2025-07-17,investor_flows,fut_kr10y_inst,10년 국채선물 기관 순매수,10487.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-18.png:(249, 858, 329, 884)","+10,487",observation already exists
2025-07-18,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-18.png,2025-07-17,2025-07-17,investor_flows,fut_kr10y_individual,10년 국채선물 개인 순매수,526.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-18.png:(332, 858, 412, 884)",+526,observation already exists
2025-07-21,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-21.png,2025-07-18,2025-07-18,investor_flows,fut_kospi200_foreign,KOSPI200 선물 외국인 순매수,3128.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-21.png:(166, 801, 246, 827)","+3,128",observation already exists
2025-07-21,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-21.png,2025-07-18,2025-07-18,investor_flows,fut_kospi200_inst,KOSPI200 선물 기관 순매수,-2489.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-21.png:(249, 801, 329, 827)","-2,489",observation already exists
2025-07-21,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-21.png,2025-07-18,2025-07-18,investor_flows,fut_kospi200_individual,KOSPI200 선물 개인 순매수,-486.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-21.png:(332, 801, 412, 827)",-486,observation already exists
2025-07-21,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-21.png,2025-07-18,2025-07-18,investor_flows,fut_kr10y_foreign,10년 국채선물 외국인 순매수,4703.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-21.png:(166, 858, 246, 884)","+4,703",observation already exists
2025-07-21,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-21.png,2025-07-18,2025-07-18,investor_flows,fut_kr10y_inst,10년 국채선물 기관 순매수,-3935.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-21.png:(249, 858, 329, 884)","-3,935",observation already exists
2025-07-21,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-21.png,2025-07-18,2025-07-18,investor_flows,fut_kr10y_individual,10년 국채선물 개인 순매수,-567.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-21.png:(332, 858, 412, 884)",-567,observation already exists
2025-07-22,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-22.png,2025-07-21,2025-07-21,investor_flows,fut_kospi200_foreign,KOSPI200 선물 외국인 순매수,2036.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-22.png:(166, 801, 246, 827)","+2,036",observation already exists
2025-07-22,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-22.png,2025-07-21,2025-07-21,investor_flows,fut_kospi200_inst,KOSPI200 선물 기관 순매수,588.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-22.png:(249, 801, 329, 827)",+588,observation already exists
2025-07-22,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-22.png,2025-07-21,2025-07-21,investor_flows,fut_kospi200_individual,KOSPI200 선물 개인 순매수,-2256.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-22.png:(332, 801, 412, 827)","-2,256",observation already exists
