report_id,observed_date,category,metric_key,metric_name,value,unit,change_1d,change_1d_unit,change_ytd,change_ytd_unit,source,source_sheet,source_cell,raw_value
4b75791f-56c8-42bc-85bc-e7ae96574743,2025-07-16,investor_flows,stock_kosdaq_inst,KOSDAQ 기관 순매수,-633.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-17.png:(249, 773, 329, 799)",-633
4b75791f-56c8-42bc-85bc-e7ae96574743,2025-07-16,investor_flows,stock_kosdaq_individual,KOSDAQ 개인 순매수,1533.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-17.png:(332, 773, 412, 799)","+1,533"
4b75791f-56c8-42bc-85bc-e7ae96574743,2025-07-16,investor_flows,fut_kr3y_foreign,3년 국채선물 외국인 순매수,281.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-17.png:(166, 830, 246, 856)",+281
4b75791f-56c8-42bc-85bc-e7ae96574743,2025-07-16,investor_flows,fut_kr3y_inst,3년 국채선물 기관 순매수,-146.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-17.png:(249, 830, 329, 856)",-146
4b75791f-56c8-42bc-85bc-e7ae96574743,2025-07-16,investor_flows,fut_kr3y_individual,3년 국채선물 개인 순매수,-39.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-17.png:(332, 830, 412, 856)",-39
6eeb8f64-5fe6-4c75-995b-a26d906d9eb6,2025-07-17,investor_flows,stock_kospi_foreign,KOSPI 외국인 순매수,493.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-18.png:(166, 745, 246, 771)",+493
6eeb8f64-5fe6-4c75-995b-a26d906d9eb6,2025-07-17,investor_flows,stock_kospi_inst,KOSPI 기관 순매수,1583.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-18.png:(249, 745, 329, 771)","+1,583"
6eeb8f64-5fe6-4c75-995b-a26d906d9eb6,2025-07-17,investor_flows,stock_kospi_individual,KOSPI 개인 순매수,-3356.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-18.png:(332, 745, 412, 771)","-3,356"
6eeb8f64-5fe6-4c75-995b-a26d906d9eb6,2025-07-17,investor_flows,stock_kosdaq_foreign,KOSDAQ 외국인 순매수,-714.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-18.png:(166, 773, 246, 799)",-714
6eeb8f64-5fe6-4c75-995b-a26d906d9eb6,2025-07-17,investor_flows,stock_kosdaq_inst,KOSDAQ 기관 순매수,32.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-18.png:(249, 773, 329, 799)",+32
