png_date,png_file,report_date,observed_date,category,metric_key,metric_name,value,unit,change_1d,change_1d_unit,change_ytd,change_ytd_unit,source,source_sheet,source_cell,raw_value
2025-07-16,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-16.png,2025-07-15,2025-07-15,investor_flows,stock_kosdaq_individual,KOSDAQ 개인 순매수,-462.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-16.png:(332, 773, 412, 799)",-462
2025-07-16,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-16.png,2025-07-15,2025-07-15,investor_flows,fut_kospi200_foreign,KOSPI200 선물 외국인 순매수,-824.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-16.png:(166, 801, 246, 827)",-824
2025-07-16,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-16.png,2025-07-15,2025-07-15,investor_flows,fut_kospi200_inst,KOSPI200 선물 기관 순매수,5830.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-16.png:(249, 801, 329, 827)","+5,830"
2025-07-16,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-16.png,2025-07-15,2025-07-15,investor_flows,fut_kospi200_individual,KOSPI200 선물 개인 순매수,1444.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-16.png:(332, 801, 412, 827)",+1444
2025-07-16,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-16.png,2025-07-15,2025-07-15,investor_flows,fut_kr3y_foreign,3년 국채선물 외국인 순매수,-2618.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-16.png:(166, 830, 246, 856)","-2,618"
2025-07-16,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-16.png,2025-07-15,2025-07-15,investor_flows,fut_kr3y_inst,3년 국채선물 기관 순매수,2837.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-16.png:(249, 830, 329, 856)","+2,837"
2025-07-16,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-16.png,2025-07-15,2025-07-15,investor_flows,fut_kr3y_individual,3년 국채선물 개인 순매수,-290.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-16.png:(332, 830, 412, 856)",-290
2025-07-16,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-16.png,2025-07-15,2025-07-15,investor_flows,fut_kr10y_foreign,10년 국채선물 외국인 순매수,-2665.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-16.png:(166, 858, 246, 884)","-2,665"
2025-07-16,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-16.png,2025-07-15,2025-07-15,investor_flows,fut_kr10y_inst,10년 국채선물 기관 순매수,2642.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-16.png:(249, 858, 329, 884)","+2,642"
2025-07-16,C:\Users\infomax\Desktop\Market Daily\2507\2025-07-16.png,2025-07-15,2025-07-15,investor_flows,fut_kr10y_individual,10년 국채선물 개인 순매수,172.0,억원,,억원,,억원,historical_png_table,PNG 투자자별 매매 동향,"2507/2025-07-16.png:(332, 858, 412, 884)",+172
